Title,"Include?
[1/0]",Year,Citation Reference,"Assigned to
[Dan, Ezz, Maddi, Sanyam, Shae, Vas]",Citations 2025,Citations Per Year Sept 2025,Venue,"URL
(optional)","DOI
(optional)","Input
[source_code, binary_code, binary_executable]","Input granularity [line, snippet, function, slice/gadget, commit, repo/project, executable]","Classification Granularity
[line, snippet, function, slice/gadget, commit, repo/project, executable]","Granularity justification (optional, if any)","Input (graph) representation
[intermediate_code, AST, CFG, DFG, CPG, PDG]","Input Vectorization
[NA, hash, manual_features, pretrained_token_embedding, pretrained_sentence_embedding, learnable_token_embedding, node_embedding, ..]","Tools Used
(as part of solution e.g., preprocessing)
[joern, word2vec, GPT-4, ...]","Task
[binary, binary-CWE, multi-class, exploit]","Task justification (optional, if any)",Mention explainability or interpretability,"Explainability
[0/1]","Vulnerability Types Targeted
[general / specific(e.g., CWE-XXX, XSS, SQLI, memory)]","Vulnerability Types in Datasets
[NA, general, CWE-XXX, XSS, SQLI, memory)]","Test Dataset Type
[create_own_from_scratch, subset_existing (e.g., NVD, SARD), benchmark]","Test Dataset
[NA, Juliet (SATE IV), NVD, SARD, Devign (aka. FFMpeg+ Qemu), Reveal (aka. Chromium+Debian), Big-Vul (aka. Fan et. al.), CodeXGLUE, Draper (Russel et. al.), CVEFixes, D2A, DiverseVul, ...]","Dataset justification (optional, if any)","Dataset Practicality
[Synthetic, real-world, both]","Programming Language
[NA, C/C++, Java, Python, PHP, JavaScript, any (binary, or assembly)]",Mention duplicate in dataset, Mention dataset quality, Mention dataset noise,Mention dataset split, Mention dataset balance,"Programming language justification 
(optional, if any)","ML?
[0/1]","LLM?
[0/1]","Basic Approach
[static, dynamic, both]","Approach
[fuzzing, manual_features, symbolic_execution, taint_analysis, signature, code_similarity, ML_preNN, MLP, CNN, RNN (including GRU, LSTM, BRNN, BGRU, BLSTM), Transformer, GNN, PretrainedLLM, FinetuneLLM, Pretrain+FinetuneLLM]","Specific Approach
[GCN, GAT, RGCN, GGNN, LSTM, BLSTM, BGRU, GRU, BRNN, PretrainedLLM, FinetuneLLM, Pretrain+FinetuneLLM]","Approach justification (optional, if any)",Discuss metrics,"Evaluation Metrics
[F1, Acc, ROCAUC,  PRAUC, Precision, Recall, TopN-Acc]","Metrics justification (optional, if any)",Discuss ablation,Discuss overfitting,"Best Results
(should be readable as python dict)
{""dataset"":{""metric"":value, ""metric"":value}}","repo
(code or data)
[url]","Open-sourced Code
[NA, 0, 1]","Open-sourced Dataset
[NA, 0, 1]",Summary,,,,
Cerebro: context-aware adaptive fuzzing for effective vulnerability detection,0,2019,li2019cerebro,Dan,129,19.34032984,ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,https://doi.org/10.1145/3338906.3338975,10.1145/3338906.3338975,"binary_executable, source_code",,executable,,,NA,,exploit,,,1,"BufferOverflow, UseAfterFree,InvalidRead, StackOverflow,FloatPointError,NegSizeParam, CVE-2018-14015, CVE-2017-13710","BufferOverflow, UseAfterFree,InvalidRead, StackOverflow,FloatPointError,NegSizeParam, CVE-2018-14015, CVE-2017-13711",create_own_from_scratch,"mjs, pngfix, fuzzershell, xed, radare2, cxxfilt, nm, ",,real-world,"any (C, javascript, python)",,,,,,,0,0,both,fuzzing,,,,num_crashes,,,,"{""null"":{}}",,0,0,Fuzzer which is smarted about which seed to fuzz and how much. uses static and dynamic analysis to evaluate the potetial for a seed input to generate new code paths.,,,,
Chucky: exposing missing checks in source code for vulnerability discovery,0,2013,yamaguchi2013chucky,Shae,246,19.41594317,Conference on Computer & Communications Security,https://dl.acm.org/doi/10.1145/2508859.2516665,10.1145/2508859.2516665,source_code,,function,,"AST, Dependancy-Graph",learnable_vector_embedding,bag-of-words,binary,,,1,general,"general,CWE-2010-3183,CWE-2010-2071,CWE-2010-2692,CWE-2010-2067,CWE-2010-3711",create_own_from_scratch,"Firefox,Linux,LibPNG,LibTIFF,Pidgin",,both,C/C++,,,,,,,1,0,both,"taint_analysis,NLP,anomaly_detection,code_similarity",,,,"ROCAUC, PRAUC",,,,"{""null"":{}}",https://github.com/yangke/chucky-ng/tree/master,1,1,This approach augments analysts capability by automatically identifying checks which are missing. The core contributions of this approach are: performing static analysis to automatically identify missing checks; anomaly detection on conditions to discover missing or unusual expressions in conditions; Taint analysis to spot missing checks on untrusted inputs as well as when accessing security critical sinks; and finally suggests potential fixes by highlighting difference between missing checks and regular ones. The key observation behind this work is that there are similar patterns when retrieving data from sources or propagating data to sinks which enables the detection of deviations from that pattern.,,,,
Coca: Improving and Explaining Graph Neural Network-Based Vulnerability Detection Systems,1,2024,cao2024coca,Sanyam,29,17.36526946,IEEE/ACM International Conference on Software Engineering,https://dl.acm.org/doi/10.1145/3597503.3639168,10.1145/3597503.3639168,source_code,function,line,classifies functions but outputs which lines are vulnerable ,,"pretrained_token_embedding, node_embedding",,binary,,1,1,general,general,benchmark,merged(big-vul+devign+reveal+crossvul+cvefixes),,real-world,C/C++,0,0,0,1,0,"we only preserve code samples written in C/C++ in our
experiments to unify the whole dataset.",1,0,static,GNN,-,,1,"Acc, Precision, Recall, F1","We apply four widely used metrics [ 54], in-
cluding",1,0,"{""Coca"": {""Acc"": 87.4, ""Precision"": 36, ""Recall"":40.6, ""F1"":38.1}}",https://github.com/CocaVul/Coca,1,1,"The paper proposes Coca, a framework for GNN based vulnerability detectors. The framework aims to (1) enhance the robustness of existing GNN AVD methods by avoiding spurious correlations based on combinatorial contrastive learning, and (2) proivde explanations on statements that are most decisive for AVD via dual-view causal inference. They apply the Coca framework to Devign, ReVeal, and DeepWuKong",,,,
Code-Based Vulnerability Detection in Node.js Applications: How far are we?,0,2020,chinthanet2020nodejs,Dan,40,7.054673721,IEEE/ACM International Conference on Automated Software Engineering,https://arxiv.org/pdf/2008.04568,10.1145/3324884.3421838,,,,,,,ANTLR-v4,,,,,,,create_own_from_scratch,SAP GitHub,,real-world,JavaScript,,,,,,,,,,,,,,,,,,,,,,"Detects known vulnerabilities in Node dependencies, doesn't detect unknown vulnerabilities.",,,,
Code-centric learning-based just-in-time vulnerability detection,1,2024,nguyen2024code_justintime,Ezz,24,14.37125749,Journal of Systems and Software,https://dl.acm.org/doi/10.1016/j.jss.2024.112014,10.1016/j.jss.2024.112014,source_code,commit,commit,"Meanwhile, just-in-time or commit-level recommendations (short-term recommendations) could be preferred because they allow commits’ authors to get immediate feedback on their code changes. This feedback could help developers faster improve their code quality since the context of the changes is still fresh in their minds. In addition, the just-in-time vulnerability detection techniques facilitate not only the authors in responsibly making code changes but also code auditors in reviewing code commits [2], [6]","AST, RCG","pretrained_token_embedding, node_embedding","joern, word2vec",binary,,1,0,general,general,subset_existing,"codejit, from_devign_bigvul_cvefixes",,real-world,C/C++,0,1,1,0,0,,1,0,static,GNN,RGCN,The task of JIT-VD can be considered as a binary classification problem that takes a commit as input and classifie,1,"Acc, Precision, Recall, F1",we measure the classification metrics such,0,0,"{""codejit"":{""acc"":89, ""precision"":90, ""recall"":80, ""f1"": 84}}",https://github.com/ttrangnguyen/CodeJIT,1,1,"The authors propose CodeJIT, a just-in-time vulnerability detector for the comit-level detection task. The motivation is that fixing the commit as soon as possible is preferred when the code meaning is still fresh in the developer's mind. They extract safe and dangerous commits from public benchmarks such as devign, big-vul, and CVEfixes. They generate a graph representation of the commit or code changes called the code transformation graph (CTG), and then use a relational GCN  (RGCN) to detect vulnerabilities. The RGCN computes a graph-level feature vector, which is fed to a MLP to classify it.",,,,
Combining Graph-Based Learning With Automated Data Collection for Code Vulnerability Detection,1,2021,wang2020combining_moe,Ezz,324,69.37901499,IEEE Transactions on Information Forensics and Security,https://ieeexplore.ieee.org/document/9293321,10.1109/TIFS.2020.3044773,source_code,function,function,,"AST, PDG","pretrained_token_embedding, node_embedding",,binary,,1,0,general,"general (check fig 8, 30 CWEs)",subset_existing,"NVD, SARD",,real-world,"C/C++, java, swift, PHP",0,1,1,0,0,,1,0,static,GNN,GGNN,,1,"Acc, Precision, Recall, F1",,0,1,"{""top30CWE"":{""Acc"":92, ""Precision"":92, ""Recall"":94, ""F1"":94}, ""real_world"":{""Recall"":95}}",https://github.com/HuantWang/FUNDED_NISL,1,1,"They present FUNDED, which is a GNN based vulnerability detection framework. Unlike many papers, FUNDED can work on many programming languages, such as C, Java, Swift, and PHP.  FUNDED uses gated graph neural networks (GGNNs) and claims to be better than Devign in that it can distinguish between control and data flow information. This is done by representing the input program as multiple relation graphs, all built upot the AST. The GNN then has relation-specific message-passing (aggregation) functions. Moreover, it employes a mixture-of-experts approach to address the shortage of data samples of vulnerable code (preprocessing step?). The experts are SVM, RF, KNN, LR, GB.  Moreover, they support multiple programming languages by using transfer learning: using a model trained for C/C++ programs and fine-tune it on a small amount of programs of the target language",,,,
Combining static analysis and dynamic symbolic execution in a toolchain to detect fault injection vulnerabilities,0,2023,lacombe2024combining_static_dynamic,Shae,20,7.490636704,Journal of Cryptographic Engineering,,,binary_executable,,executable,,AST,NA,"Frama-C, Lazart, KLEE, Eva, Pdg, From",exploit,,,0,fault injection,fault injection/general (real world applications),create_own_from_scratch,"ANSSI's WooKey Secure storage device, verifyPIN (FISSC fault injection test suite), sudo (unix command)",,real-world,C/C++,,,,,,,0,0,both,"symbolic_execution, concolic_execution",,,,"Time, Attack Paths",,,,,,0,0,"This paper utilizes the Frama-C tool of Eva, Pdg, and From to perform static analysis to detect injection points in firmware and assess their potential impactfulness. Subsequently dynamic symbolic execution tool Lazart is used to validate the existance of attack paths from the injection points. This approach discovers potential attack paths in WooKey, verifyPin and sudo. The utilization of static analysis and heuristics was is essential in enabling the scalability of symbolic execution which is required for this task.",,,,
"Commit-Level, Neural Vulnerability Detection and Assessment",1,2023,li2023commit,Ezz,14,5.243445693,Proceedings of the 31st ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,,,source_code,commit,commit,we want to identify vulnerabilities as soon as possible,PDG,node_embedding,,binary,,1,0,general,general,benchmark,"Big-Vul, CVAD",they are manually checked and used in prior research,real-world,"C/C++, Java",0,0,0,0,0,None,1,0,static,GNN,GCN,,1,"F1, MCC, Recall, Precision",because of class imbalance,1,0,"{""big-vul"":{""precision"":69, ""recall"":85, ""f1"":76}}",https://github.com/vulnerability-assessment-cat/vulnerabilityassessment- cat,1,NA,"The paper proposes a method for vulnerability detection and assessment at the same time, as compared to previous works which only focus on one of the two steps. By assessment they mean predicting the severity of the vulnerability given as CVSS scores. They also claim that previous VA works do not use good contextual represrntations. The proposed solution is commit-level and is graph-based and can provide just-in-time assistance. They use a multi-task learning approach to learn both tasks simultaneously. For representations they use PDG before and after the commit change and thus create a delta-PDG.",,,,
CPVD: Cross Project Vulnerability Detection Based on Graph Attention Network and Domain Adaptation,1,2023,zhang2023cpvd,Ezz,37,13.8576779,IEEE Transactions on Software Engineering,https://ieeexplore.ieee.org/document/10149539,10.1109/TSE.2023.3285910,source_code,function,function,,CPG,"pretrained_token_embedding, node_embedding","Joern, word2vec",binary,,1,0,general,general,benchmark,"reveal, devign_qemu_only, d2a_libav, funded_sard","It has been taken as dataset by many works 
",real-world,C/C++,0,1,1,0,0," Our approach is specific to C/C++ languages and does not apply to projects in other programming languages, but the entire flow can be used in any language.",1,0,static,GNN,GAT,,1,"Acc, Precision, Recall, F1, FPR, FNR, MCC",,0,1,"{""devign_qemu"":{""acc"":87.3, ""precision"":78.9, ""recall"":83.2, ""f1"":81.1}, ""reveal"": {""acc"":94.1, ""precision"":61.6, ""recall"":91.6, ""f1"":70.2}, ""d2a_libav"": {""acc"":90.4, ""precision"":55.4, ""recall"":64.8, ""f1"":59.8}}",,0,0,"This paper proposes CPVD, a vulnerability detector based on GNNs and domain adaptation. First the CPG of the code is extracted and the nodes are embedded using the word embedding word2vec. Then, the embeddings are passed to GAT to produce a graph embedding. Domain adaptation is then used to learn a mapping between the graph vectors across domains.",,,,
Cross-domain vulnerability detection using graph embedding and domain adaptation,1,2023,li2023cross,Ezz,20,7.490636704,Computers & Security,https://dl.acm.org/doi/10.1016/j.cose.2022.103017,10.1016/j.cose.2022.103017,source_code,function,function,,CPG,"pretrained_token_embedding, node_embedding","word2vec, joern",binary,,1,0,general,general,benchmark,"devign, reveal",,real-world,C/C++,0,1,1,0,0,,1,0,static,GNN,GGNN,,1,"Acc, Precision, Recall, F1, MCC",none,0,0,"{""reveal"": {""acc"":73.8, ""precision"":78.2, ""recall"":65.7, ""f1"":71.4, ""mcc"":48.1}, ""devign"": {""acc"":67.6, ""precision"":67.3, ""recall"":68.1, ""f1"":67.7, ""mcc"":35.1}}",https://drive.google.com/file/d/1RALujlx6JZYd84VvolLhkCgQPj13tC-t/view,0,1,"The main aim of the paper is to propose vulnerability detector VulGDA which is able to perform well in cross-domain settings, that is when the test dataset includes functions from other e.g., projects, including the zero-shot fashion. VulGDA utilizes a graph embedding stage which uses the CPG as an underlying grapg for a GGNN. For the descrapacy between training and test data, domain daptation is applied where a feature generator is learned that maps the source and target domains, so that detection could be made based on features that are invariant to domain shifts. The feature generator is optimized by minimizing the classification loss as well as the domain discrepancy.",,,,
CryptoGuard: High precision detection of cryptographic vulnerabilities in massive-sized Java projects,0,2018,rahaman2019cryptoguard,Dan,180,23.46805737,ACM SIGSAC Conference on Computer,https://dl.acm.org/doi/10.1145/3319535.3345659,10.1145/3319535.3345659,source_code,,slice/gadget,,,NA,,multi-class,,,1,crypto,crypto,create_own_from_scratch,"Apache projects, top Android apps",,real-world,Java,,,,,,,0,0,static,manual_features,,,,"num_detected, Precision",,,,"{""apache"": {""num_detected"": 1295, ""precision"":98.61,}}",https://github.com/CryptoGuardOSS/cryptoapi-bench,1,1,"CryptoGuard is a tool to detect the misuse of cryptographic APIs in software according to 16 rules (heuristics). It uses program slicing to identify code that interacts with cryptographic functions. To reduce false positive, it uses 5 heuristics in the slicing process.",,,,
CSGVD: A deep learning approach combining sequence and graph embedding for source code vulnerability detection,1,2023,tang2023csgvd,Sanyam,68,25.46816479,Journal of Systems and Software,https://dl.acm.org/doi/abs/10.1016/j.jss.2023.111623,10.1016/j.jss.2023.111623,source_code,function,function,"Another threat relates to the dataset. We use a C/C++ dataset built for function-level vulnerability detection, which is primarily derived from two open-source projects, FFmpeg and QEMU. The
rare dataset may lead to poor generalization of the model. Furthermore, the function-level data samples focused on intraprocedural information and lacked interprocedural information, This flaw causes the model to fail to capture macro and interprocedu-
ral call information, making it difficult to understand the potential nature of the vulnerability",,node_embedding,PE-BL module ,binary,,1,0,general,general,benchmark,CodeXGlue,,real-world,C/C++,0,0,0,0,0,,1,0,static,GNN,GCN,,1,"Precision, Recall, F1",,0,0,"{""codeXGLUE"":{""Acc"":64.46,""Precision"": 61.87,""Recall"":58.99,""F1"":60.39}}",,0,1,,,,,
